pa4 -b evaluation
Cases,Compile error,Time limit exceeded,Time(sec),Valid tree,Contain all nodes,Valid BST,Balanced,Fully match,Used memory (bytes),Stack overflow,Memory leak,Memory error
del_easy_0rot_2.b,0,0,0.00788,1,1,1,1,1,23704,0,0,0
del_easy_1rot_2.b,0,0,0.00796,1,1,1,1,1,22744,0,0,0
del_easy_2rot_4.b,0,0,0.00805,1,1,1,1,1,24184,0,0,0
del_hard_0rot_2.b,0,0,0.00789,1,1,1,1,1,23320,0,0,0
del_hard_1rot_4.b,0,0,0.00794,1,1,1,1,1,25336,0,0,0
del_hard_2rot_4.b,0,0,0.008,1,1,1,1,1,24184,0,0,0
ins_0rot_5.b,0,0,0.01599,1,1,1,1,1,39832,0,0,0
ins_1rot_5.b,0,0,0.01591,1,1,1,1,1,39928,0,0,0
ins_2arot_5.b,0,0,0.00797,1,1,1,1,1,39928,0,0,0
ins_2brot_5.b,0,0,0.00806,1,1,1,1,1,39928,0,0,0
ins_2crot.b,0,0,0.00801,1,1,1,1,1,21976,0,0,0
ins_asc_1K.b,0,0,0.00787,1,1,1,1,1,45424,0,0,0
ins_asc_1M.b,0,1,-1,1,0,1,1,0,-1,-1,-1,-1
ins_del_asc_1K.b,0,0,0.01625,1,1,1,1,1,45424,0,0,0
ins_del_asc_1M.b,0,1,-1,1,0,1,1,0,-1,-1,-1,-1
ins_del_des_1K.b,0,0,0.01605,1,1,1,1,1,45424,0,0,0
ins_del_des_1M.b,0,1,-1,1,0,1,1,0,-1,-1,-1,-1
ins_del_min_27.b,0,1,-1,1,0,1,1,0,-1,-1,-1,-1
ins_del_min_5.b,0,0,0.01611,1,1,1,1,1,21904,0,0,0
ins_del_rand_1K_10.b,0,0,0.00788,1,1,1,1,1,45664,0,0,0
ins_del_rand_1M_10K.b,0,1,-1,1,0,1,1,0,-1,-1,-1,-1
ins_del_uniform_100K.b,0,1,-1,1,0,1,1,0,-1,-1,-1,-1
ins_del_uniform_1M.b,0,1,-1,1,0,1,1,0,-1,-1,-1,-1
